co_nombre,co_finalidad,co_direccion,co_telefono1,co_contacto1,co_telefono2,co_contacto2,co_telefono3,co_contacto3,co_website,co_banco,co_cuenta_destino,co_pago,co_vendedor,co_sonido,co_comentarios,co_fecha,co_fecha_act,co_estado,co_operador,co_terminal,co_mora,co_comision,co_rnc
HIPER MERCADO OLE,VENTAS DE PRODUCTOS DE CONSUMO MASIVO,POR CONFIRMAR,22222222,RRRRR,,,,,,1,24472460019,2,0,NULL,,58:19.5,58:19.5,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
HIPERMERCADO OLE,SUPERMERCADO,BAVARO,0,0,,,,,,1,24472460019,2,0,NULL,,54:43.8,54:43.8,1,mmoris,COBROS32,0,0.5,131-37045-4
HIPERMERCADO OLE POPULAR ,SUPERMERCADO,bavaro,0,0,,,,,,5,795319581,2,0,NULL,,04:58.4,22:35.4,1,mmoris,DESKTOP-DFEQDJR,0,0.5,131-37045-4
HOSP. NTRA SE¥ORA DE LA ALTAGRACIA,DA ATENCION PERSONALIZADA ,,8099333506,0,,,,,,2,300118368,3,2,NULL,,31:14.5,28:48.4,1,cgonzalez,DESKTOP-K9FT08G,0,0.5,131-37045-4
HOSP. NTRA. SE¥ORA DE LA ALTAGRACIA .,0,0,0,0,,,,,,2,300118368,3,0,NULL,,05:00.0,29:13.6,1,mmoris,DESKTOP-VK5UM4E,0,0.5,131-37045-4
HOSP. NTRA. SE¥ORA DE LA ALTAGRACIA CANCELADO...,0,0,0,0,,,,,,2,300118368,3,2,NULL,,22:54.7,33:31.0,1,mmoris,SUPERVISOR-001,0,0.5,131-37045-4
HOSP. NTRA. SE¥ORA DE LA ALTAGRACIA...,SALUD,higuey la altagracia,0,0,,,,,,2,300118368,3,0,NULL,,05:20.2,46:57.4,1,opaulino,GERENCIA,0,0,000-00000-0
HOSPIFAR,LABORATORIO MADICO,PROLONGACION AVENIDA MONUMENTAL #7 ,8095331084,RECEP.,,,,,,1,24472460019,2,5,NULL,,07:37.1,07:37.1,1,mmoris,DESKTOP-GSN33LR,0,4,131-37045-4
HOSPIFAR RECAUDO,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,36:49.5,36:49.5,1,cgonzalezz,DESKTOP-O41JRMA,0,0,131-37045-4
HOSPITAL HIGUEY TARJETA DEBITO ELIA,SALUD,higuey la altagracia,0,0,,,,,,2,300118368,3,0,NULL,,24:39.8,24:39.8,1,opaulino,DESKTOP-VK5UM4E,0,0,000-00000-0
HOSPITAL MARCELINO VELEZ ,TECNICA EN HEMO DIALISIS NEFROLOGIA ASISTENTES ,isabela guaiar 141,8095606666,,,,,,,2,9602119269,3,5,NULL,clientes del hopital oscar dio la autorizacion para empezar a trabajar aya.,10:00.8,18:54.5,0,mpaulino,MARIAP,0,0.5,131-37045-4
